Va,Vb,Vc,Ia,Ib,Ic,Type
133307.2136,133301.3982,133300.1927,2394.776613,2394.789137,2394.775262,ABCG
133291.7691,133298.7422,133297.6199,2394.784729,2394.791271,2394.776222,ABCG
133308.0433,133300.5386,133303.9155,2394.790881,2394.792183,2394.778271,ABCG
133292.5474,133299.7794,133294.5209,2394.792493,2394.792491,2394.778596,ABCG
133305.7444,133299.4282,133306.0852,2394.803249,2394.792309,2394.787294,ABCG
133296.1478,133300.8522,133293.5045,2394.799888,2394.792433,2394.782319,ABCG
133301.2318,133298.5011,133305.8658,2394.806814,2394.789514,2394.797159,ABCG
133301.1455,133301.5426,133294.9489,2394.806221,2394.791114,2394.787782,ABCG
133296.2896,133298.1163,133303.374,2394.79921,2394.785233,2394.802106,ABCG
133305.5818,133301.5878,133298.2566,2394.809936,2394.788696,2394.794869,ABCG
133292.8471,133298.4137,133299.6222,2394.783904,2394.781652,2394.798743,ABCG
133307.7559,133300.9843,133302.1073,2394.808856,2394.785553,2394.802233,ABCG
133292.2032,133299.2616,133296.0982,2394.768679,2394.780664,2394.787926,ABCG
133306.9003,133299.9839,133305.0008,2394.801292,2394.782342,2394.807261,ABCG
133294.521,133300.3153,133294.1591,2394.761917,2394.782948,2394.7746,ABCG
133303.4637,133298.9869,133305.8614,2394.7875,2394.77997,2394.806985,ABCG
133298.7955,133301.1612,133294.4919,2394.768401,2394.787586,2394.765605,ABCG
133298.892,133298.3775,133304.4544,2394.770625,2394.779372,2394.799625,ABCG
133303.2972,133301.484,133296.8635,2394.786617,2394.792435,2394.766369,ABCG
133295.0107,133298.3705,133301.4461,2394.756322,2394.781141,2394.786014,ABCG
133306.2949,133301.1892,133300.2528,2394.808954,2394.795087,2394.778047,ABCG
133293.2771,133298.9332,133298.0953,2394.750885,2394.785147,2394.770065,ABCG
133306.749,133300.4299,133303.2999,2394.824876,2394.79401,2394.796511,ABCG
133294.2155,133299.8113,133295.7168,2394.758457,2394.79037,2394.757759,ABCG
133304.688,133299.5315,133304.8707,2394.825759,2394.789338,2394.813812,ABCG
133297.264,133300.6444,133295.1498,2394.778568,2394.795082,2394.754855,ABCG
133301.1273,133298.8502,133304.4982,2394.809202,2394.78292,2394.821609,ABCG
133301.076,133301.1184,133296.4529,2394.805319,2394.797414,2394.764206,ABCG
133297.586,133298.6266,133302.5212,2394.780731,2394.777573,2394.815078,ABCG
133304.1263,133301.0885,133298.9417,2394.828953,2394.796119,2394.783918,ABCG
133295.43,133298.8981,133299.8794,2394.751918,2394.775843,2394.795495,ABCG
133305.3465,133300.6237,133301.5323,2394.839488,2394.79121,2394.807405,ABCG
133295.3282,133299.5017,133297.6751,2394.735549,2394.778818,2394.770182,ABCG
133304.5174,133299.9584,133303.2239,2394.831033,2394.784158,2394.825589,ABCG
133297.0491,133300.1613,133296.7027,2394.739904,2394.785543,2394.749663,ABCG
133302.2685,133299.3778,133303.5032,2394.804879,2394.777481,2394.830525,ABCG
133299.657,133300.6143,133297.1537,2394.764718,2394.793337,2394.743175,ABCG
133299.7157,133299.0939,133302.501,2394.769773,2394.773818,2394.818955,ABCG
133301.9921,133300.7201,133298.6097,2394.800767,2394.798897,2394.754472,ABCG
133297.9254,133299.1645,133300.8544,2394.738955,2394.774844,2394.794158,ABCG
133303.1963,133300.5043,133300.3035,2394.833446,2394.799729,2394.779867,ABCG
133297.4609,133299.4897,133299.3603,2394.724946,2394.780479,2394.765116,ABCG
133303.0445,133300.1237,133301.5047,2394.848881,2394.795265,2394.809473,ABCG
133298.2068,133299.8789,133298.5985,2394.734235,2394.788787,2394.743129,ABCG
133301.9495,133299.7763,133301.843,2394.839949,2394.787173,2394.831216,ABCG
133299.5279,133300.1517,133298.6995,2394.764202,2394.796648,2394.737226,ABCG
133300.6674,133299.6035,133301.4235,2394.809529,2394.778694,2394.83593,ABCG
133300.6558,133300.2213,133299.3554,2394.80375,2394.800979,2394.75029,ABCG
133299.873,133299.6303,133300.6981,2394.769502,2394.77329,2394.821304,ABCG
133301.0946,133300.1225,133300.0443,2394.83757,2394.799999,2394.777637,ABCG
133299.8254,133299.7716,133300.1779,2394.735877,2394.773188,2394.792961,ABCG
133300.843,133299.9749,133300.3405,2394.852318,2394.793998,2394.808745,ABCG
133300.2839,133299.8939,133300.1433,2394.722131,2394.77844,2394.762164,ABCG
133300.3324,133299.9044,133300.1445,2394.842114,2394.785264,2394.831469,ABCG
133300.7032,133299.8982,133300.5043,2394.733635,2394.786921,2394.741143,ABCG
133300.1298,133299.9676,133299.7163,2394.810999,2394.777184,2394.836984,ABCG
133300.589,133299.7789,133300.876,2394.765522,2394.795227,2394.738063,ABCG
133300.574,133300.1186,133299.5021,2394.771291,2394.772874,2394.82336,ABCG
133299.8188,133299.6269,133300.8245,2394.804866,2394.800096,2394.753758,ABCG
133301.5436,133300.2354,133299.8506,2394.738533,2394.773929,2394.796271,ABCG
133298.75,133299.5761,133300.1483,2394.836129,2394.799728,2394.781577,ABCG
133302.4887,133300.1931,133300.775,2394.725179,2394.779801,2394.766569,ABCG
133298.0518,133299.7219,133299.0389,2394.847512,2394.79446,2394.81031,ABCG
133302.7165,133299.9429,133301.8932,2394.735686,2394.788072,2394.745795,ABCG
133298.3391,133300.0552,133298.0273,2394.835537,2394.786543,2394.828863,ABCG
133301.7884,133299.5558,133302.5912,2394.764994,2394.795467,2394.74154,ABCG
133299.7964,133300.4482,133297.7308,2394.806032,2394.77915,2394.830671,ABCG
133299.8227,133299.2028,133302.335,2394.800935,2394.799197,2394.754592,ABCG
133301.9939,133300.7064,133298.5203,2394.771316,2394.775068,2394.816061,ABCG
133297.5312,133299.0782,133300.9811,2394.829401,2394.798042,2394.778951,ABCG
133304.0089,133300.6618,133300.2755,2394.744941,2394.775625,2394.791697,ABCG
133258.1337,133270.7891,133273.4958,2187.492739,2187.476262,2187.499968,ABCG
133291.9841,133276.6139,133279.1483,2187.512418,2187.478436,2187.502204,ABCG
133256.4954,133272.6922,133265.417,2187.461279,2187.472368,2187.484984,ABCG
133290.126,133274.3398,133285.8064,2187.515958,2187.4754,2187.51616,ABCG
133261.7225,133275.1035,133260.9129,2187.442497,2187.475691,2187.457122,ABCG
133282.2587,133272.0476,133287.8106,2187.501748,2187.469876,2187.528251,ABCG
133271.54,133277.0503,133261.6695,2187.454912,2187.48513,2187.435164,ABCG
133271.7462,133270.6481,133284.5586,2187.465611,2187.464448,2187.524489,ABCG
133281.8747,133277.7831,133267.1546,2187.499315,2187.49556,2187.437125,ABCG
133262.8999,133270.6494,133277.6322,2187.418673,2187.463158,2187.497136,ABCG
133288.6501,133277.0857,133274.9293,2187.556451,2187.500471,2187.469397,ABCG
133259.1099,133271.9588,133270.0289,2187.383739,2187.469084,2187.451294,ABCG
133289.5123,133275.3405,133281.7795,2187.595708,2187.495528,2187.521551,ABCG
133261.4592,133273.9551,133264.8092,2187.384014,2187.482087,2187.404772,ABCG
133284.7168,133273.3294,133285.1284,2187.590757,2187.481201,2187.569926,ABCG
133268.4235,133275.7883,133263.7909,2187.429777,2187.49805,2187.380612,ABCG
133276.8194,133271.8719,133284.0841,2187.534305,2187.463062,2187.588643,ABCG
133276.738,133276.7602,133266.8755,2187.510159,2187.51024,2187.395594,ABCG
133269.3745,133271.4706,133279.6691,2187.444238,2187.449443,2187.562821,ABCG
133282.9685,133276.6108,133272.2748,2187.595022,2187.512313,2187.450456,ABCG
133265.293,133272.1259,133274.1793,2187.357473,2187.447526,2187.497371,ABCG
133285.0255,133275.5839,133277.4751,2187.647022,2187.501556,2187.527103,ABCG
133265.6377,133273.3929,133270.0274,2187.313804,2187.459694,2187.416666,ABCG
133282.9237,133274.2594,133280.4397,2187.638698,2187.480737,2187.5949,ABCG
133269.381,133274.6352,133268.646,2187.337136,2187.48199,2187.354689,ABCG
133278.4936,133273.2474,133280.4685,2187.566518,2187.457486,2187.623688,ABCG
133274.1673,133275.3423,133269.9636,2187.423064,2187.505507,2187.339913,ABCG
133274.2648,133272.9008,133278.331,2187.454802,2187.441287,2187.597705,ABCG
133277.627,133275.3524,133272.6611,2187.539073,2187.520187,2187.381885,ABCG
133272.1331,133273.1836,133275.6711,2187.346938,2187.439366,2187.523803,ABCG
133278.5545,133274.8788,133275.0164,2187.637754,2187.519314,2187.465926,ABCG
133272.4895,133273.7479,133274.035,2187.287297,2187.453314,2187.429788,ABCG
133277.3652,133274.3434,133275.8681,2187.677303,2187.502639,2187.558683,ABCG
133274.2229,133274.1651,133274.0477,2187.301802,2187.478098,2187.353182,ABCG
133275.6481,133274.1158,133275.1894,2187.640035,2187.47666,2187.622259,ABCG
133275.5383,133274.1793,133275.161,2187.386048,2187.503984,2187.325245,ABCG
133275.1025,133274.3015,133273.9913,2187.540431,2187.451884,2187.630594,ABCG
133275.1094,133273.8478,133276.0791,2187.506592,2187.520611,2187.357393,ABCG
133276.4614,133274.6926,133273.6332,2187.419014,2187.438314,2187.58072,ABCG
133272.9244,133273.4942,133275.6093,2187.615049,2187.521412,2187.4362,ABCG
133278.9994,133274.9029,133274.9356,2187.324808,2187.441164,2187.493826,ABCG
133270.3526,133273.5038,133273.4579,2187.668756,2187.5064,2187.529272,ABCG
133280.9039,133274.6132,133277.5918,2187.294332,2187.458748,2187.405764,ABCG
133269.3836,133274.0736,133270.521,2187.64873,2187.482073,2187.599336,ABCG
133280.3226,133273.7891,133280.222,2187.336546,2187.483417,2187.351403,ABCG
133271.4378,133275.0581,133268.4867,2187.566979,2187.458498,2187.620145,ABCG
133276.5277,133272.7479,133281.0684,2187.430304,2187.505051,2187.349957,ABCG
133276.3923,133276.0022,133268.9315,2187.460116,2187.444922,2187.587085,ABCG
133270.5542,133272.0274,133278.9863,2187.534981,2187.515463,2187.397774,ABCG
133282.3808,133276.3562,133272.3763,2187.372532,2187.445895,2187.517929,ABCG
133264.9182,133272.1137,133274.2083,2187.608974,2187.511706,2187.471464,ABCG
133286.5386,133275.77,133277.8136,2187.337015,2187.459631,2187.443773,ABCG
133262.4901,133273.1642,133268.4484,2187.627378,2187.496888,2187.539444,ABCG
133286.3766,133274.3142,133283.0009,2187.361621,2187.479233,2187.394677,ABCG
133265.045,133274.8733,133264.2342,2187.590982,2187.478262,2187.576182,ABCG
133281.1191,133272.5073,133285.4328,2187.42842,2187.496106,2187.386783,ABCG
133272.2126,133276.5614,133263.7449,2187.523093,2187.463668,2187.572524,ABCG
133272.316,133271.1164,133283.5516,2187.503973,2187.503874,2187.416687,ABCG
133281.3951,133277.4627,133267.7022,2187.456586,2187.458058,2187.53767,ABCG
133263.3656,133270.8143,133277.6083,2187.555955,2187.500972,2187.465183,ABCG
133288.7689,133277.0828,133274.8718,2187.417954,2187.46171,2187.49256,ABCG
133258.0986,133271.8517,133269.7247,2187.567729,2187.490796,2187.507988,ABCG
133290.955,133275.4552,133282.4604,2187.416142,2187.470824,2187.458524,ABCG
133259.0479,133273.9042,133263.0729,2187.544089,2187.479503,2187.527811,ABCG
133286.5984,133273.1684,133287.2741,2187.441118,2187.479974,2187.447072,ABCG
133266.2101,133276.1783,133260.5119,2187.50603,2187.472677,2187.521829,ABCG
133277.1054,133271.1366,133287.1289,2187.472025,2187.485069,2187.455767,ABCG
133276.9068,133277.7395,133263.2948,2187.477896,2187.472588,2187.501177,ABCG
133266.1553,133270.2103,133281.8673,2187.489981,2187.485247,2187.47177,ABCG
133286.8544,133277.919,133270.4502,2187.473903,2187.477379,2187.483221,ABCG
133258.1699,133270.7998,133273.4983,2187.488487,2187.482832,2187.480648,ABCG
133291.9875,133276.6137,133279.1441,2187.491068,2187.482504,2187.481033,ABCG
133256.4107,133272.6868,133265.3731,2187.476003,2187.481493,2187.475388,ABCG
133290.2181,133274.3413,133285.8759,2187.512051,2187.483564,2187.495776,ABCG
133261.5627,133275.1105,133260.7555,2187.469588,2187.483714,2187.460635,ABCG
133282.3377,133272.0213,133287.979,2187.516153,2187.478991,2187.51609,ABCG
133271.449,133277.0943,133261.4258,2187.483354,2187.48904,2187.44983,ABCG
133271.653,133270.5794,133284.7484,2187.492375,2187.471117,2187.524797,ABCG
133282.002,133277.8646,133266.9461,2187.518331,2187.494108,2187.456816,ABCG
133262.5271,133270.5539,133277.6971,2187.447339,2187.465008,2187.509331,ABCG
133289.042,133277.1738,133274.909,2187.559653,2187.494515,2187.486542,ABCG
133258.4938,133271.8798,133269.8371,2187.403453,2187.465655,2187.470228,ABCG
133290.0514,133275.3853,133282.038,2187.583127,2187.487538,2187.530172,ABCG
133260.798,133273.9428,133264.3341,2187.387815,2187.47496,2187.422841,ABCG
133285.1517,133273.2883,133285.6215,2187.568196,2187.474204,2187.567713,ABCG
133268.0016,133275.8713,133263.1542,2187.4173,2187.490184,2187.390878,ABCG
133276.8778,133271.7362,133284.6264,2187.510585,2187.459487,2187.577377,ABCG
133276.7875,133276.9247,133266.3138,2187.487609,2187.50476,2187.394613,ABCG
133268.9075,133271.2778,133280.0049,2187.427702,2187.450314,2187.547223,ABCG
133283.5386,133276.7989,133272.0379,2187.572407,2187.511255,2187.439595,ABCG
133264.3753,133271.949,133274.1022,2187.353151,2187.452236,2187.483056,ABCG
133285.9281,133275.716,133277.7037,2187.63384,2187.505081,2187.511779,ABCG
133264.5652,133273.3093,133269.4897,2187.322165,2187.466387,2187.40814,ABCG
133283.7932,133274.2698,133281.0832,2187.639941,2187.487136,2187.582084,ABCG
133268.5589,133274.6908,133267.8016,2187.354564,2187.488309,2187.354077,ABCG
133278.9392,133273.1169,133281.2879,2187.580736,2187.463955,2187.618815,ABCG
133273.9342,133275.5266,133269.1178,2187.44356,2187.509417,2187.346701,ABCG
133274.0481,133272.6698,133278.9922,2187.475023,2187.445144,2187.602366,ABCG
133278.0978,133275.5988,133272.1444,2187.556359,2187.520592,2187.3935,ABCG
133271.2853,133272.9383,133275.8881,2187.363967,2187.439161,2187.535241,ABCG
133279.5572,133275.0908,133275.0407,2187.647078,2187.51631,2187.47875,ABCG
133241.084,133253.6633,133257.0925,2010.009042,2010.156137,2010.242115,ABCG
133276.3487,133259.8329,133262.9985,2010.495562,2010.250364,2010.278313,ABCG
133241.6226,133255.914,133249.6473,2009.925017,2010.175704,2010.1019,ABCG
133272.6586,133257.4659,133268.3547,2010.502824,2010.21689,2010.405028,ABCG
133248.3348,133258.1446,133247.1573,2009.958043,2010.214483,2009.986988,ABCG
133264.718,133255.6472,133268.4187,2010.389708,2010.174477,2010.471254,ABCG
133256.9667,133259.4148,133249.5591,2010.108833,2010.256941,2009.954209,ABCG
133257.1412,133255.0334,133264.5535,2010.189873,2010.141027,2010.438141,ABCG
133263.1598,133259.4182,133254.4482,2010.321691,2010.284076,2010.027223,ABCG
133253.42,133255.5623,133259.7809,2009.981536,2010.132307,2010.309424,ABCG
133264.6972,133258.5494,133258.6425,2010.50737,2010.282448,2010.182449,ABCG
133254.2414,133256.5862,133256.9534,2009.853462,2010.154136,2010.133022,ABCG
133262.4039,133257.5949,133260.0129,2010.583636,2010.250941,2010.357521,ABCG
133257.4713,133257.3075,133257.1816,2009.863784,2010.198972,2009.981128,ABCG
133259.3001,133257.2369,133258.5816,2010.514004,2010.201806,2010.478829,ABCG
133259.7217,133257.2632,133259.3567,2010.011783,2010.248782,2009.917784,ABCG
133258.5573,133257.6501,133256.3207,2010.325632,2010.155349,2010.495109,ABCG
133258.5665,133256.5891,133260.9906,2010.236847,2010.283005,2009.969439,ABCG
133261.4422,133258.4142,133255.8052,2010.097449,2010.130756,2010.400866,ABCG
133254.1328,133255.9195,133259.8664,2010.445584,2010.287831,2010.112823,ABCG
133266.425,133258.7864,133258.5056,2009.924124,2010.137449,2010.23837,ABCG
133249.1562,133255.9825,133255.5485,2010.554151,2010.262363,2010.286052,ABCG
133269.9776,133258.1783,133263.7029,2009.873259,2010.171116,2010.077446,ABCG
133247.4384,133257.1213,133249.8727,2010.525431,2010.218695,2010.417466,ABCG
133268.6442,133256.565,133268.6768,2009.956371,2010.216217,2009.983106,ABCG
133251.5408,133259.0165,133246.0932,2010.383438,2010.175974,2010.458093,ABCG
133261.2482,133254.5875,133270.1164,2010.127111,2010.253576,2009.986795,ABCG
133260.9993,133260.7794,133247.1034,2010.198736,2010.151411,2010.402124,ABCG
133249.9801,133253.271,133266.0218,2010.30649,2010.26923,2010.074868,ABCG
133272.1101,133261.3878,133253.6772,2010.052938,2010.15266,2010.286082,ABCG
133239.6787,133253.492,133257.0617,2010.421622,2010.26024,2010.19898,ABCG
133279.5173,133260.2439,133263.7138,2010.000348,2010.175178,2010.168101,ABCG
133235.5675,133255.4715,133246.5997,2010.438424,2010.234817,2010.302093,ABCG
133278.8659,133257.5582,133272.9713,2010.045601,2010.205587,2010.098492,ABCG
133240.5562,133258.5709,133239.2765,2010.372669,2010.207108,2010.346294,ABCG
133269.1774,133254.3404,133277.0027,2010.147386,2010.229051,2010.096654,ABCG
133253.5061,133261.5198,133238.7985,2010.275447,2010.189584,2010.328453,ABCG
133253.6865,133251.9759,133273.3583,2010.244727,2010.236717,2010.145521,ABCG
133269.4228,133262.9859,133246.0277,2010.20229,2010.187082,2010.276674,ABCG
